date,workout_title,step_title,matched_zone,expected_min,expected_max,actual_ftp_min,issue
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-25,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-25,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-02-25,"Criss Cross, Tempo > VO2: 3 x 10 minutes","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-03,"Criss Cross, Threshold > Zone 6: 2 x 10 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-03,"Criss Cross, Threshold > Zone 6: 2 x 10 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-10,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical): 1 hour","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-10,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical): 1 hour","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-10,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical): 1 hour","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-21,"Zone 5/VO2 Max: 4 minuters [16 min total]","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-25,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-25,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-03-25,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-04-01,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-04-01,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-04-08,"Criss Cross, Threshold > Zone 6: 2 x 10 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
2026-04-08,"Criss Cross, Threshold > Zone 6: 2 x 10 minutes (Diabolical)","Zone 4",Lactate Threshold (Z4),97,104,112,"ftp_min 112% is above zone ceiling of 104%"
